"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C5, C6, C29","7","10u","stdpads:C_0805","C15850",""
"C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C33, C34, C35, C36","26","2u2","stdpads:C_0603","C23630",""
"C30, C31, C32","3","22p","stdpads:C_0603","C1653",""
"D1","1","Amber","stdpads:LED_0805","C284932",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2, H3, H4","4","~","stdpads:PasteHole_1.152mm_NPTH","",""
"H5","1","~","stdpads:PasteHole_1.1mm_PTH","",""
"J1","1","AppleIIeAux","stdpads:AppleIIeAux_Edge","",""
"J2","1","microUSB","stdpads:USB_Micro-B_Amphenol_10118192-0001","C132564",""
"J3","1","C14M","stdpads:EdgeClipHole","",""
"J4","1","C14M","stdpads:PinHeader_1x02_P2.54mm_Vertical","",""
"J5","1","JTAG","stdpads:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"R1","1","0","stdpads:R_0805","C17477",""
"R2, R3, R4, R5, R13","5","47","stdpads:R_0603","C23182",""
"R6, R7, R10","3","DNP","stdpads:R_0603","",""
"R8","1","220","stdpads:R_0805","C17557",""
"R9, R11, R12","3","10k","stdpads:R_0603","C25804",""
"U1","1","5M240ZT100C5N","stdpads:TQFP-100_14x14mm_P0.5mm","C192889",""
"U2","1","W9812G6KH-6","stdpads:TSOP-II-54_22.2x10.16mm_P0.8mm","C62379",""
"U3, U4, U5","3","74LVC245APW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C6082",""
"U6, U7","2","74AHCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C173388",""
"U8","1","XC6206P332MR","stdpads:SOT-23","C5446",""
"U9","1","AP2127K-1.8TRG1","stdpads:SOT-23-5","C151375",""
"U10","1","CH340G","stdpads:SOIC-16_3.9mm","C14267",""
"U11","1","74AHCT1G125GW","stdpads:SOT-353","C12495",""
"Y1","1","12M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002",""
