Ref,Val,Package,MidX,MidY,Rot,Side
"C1","10u","C_0805",271.350000,-111.650000,270.000000,top
"C2","10u","C_0805",263.900000,-110.800000,90.000000,top
"C3","10u","C_0805",261.200000,-110.800000,90.000000,top
"C4","10u","C_0805",263.900000,-105.250000,90.000000,top
"C5","10u","C_0805",261.200000,-105.250000,90.000000,top
"C6","10u","C_0805",271.350000,-105.250000,90.000000,top
"C7","2u2","C_0603",216.350000,-122.400000,270.000000,top
"C8","2u2","C_0603",225.550000,-122.400000,270.000000,top
"C9","2u2","C_0603",234.750000,-122.400000,270.000000,top
"C10","2u2","C_0603",243.950000,-122.400000,270.000000,top
"C11","2u2","C_0603",253.150000,-122.400000,270.000000,top
"C12","2u2","C_0603",230.500000,-116.250000,180.000000,top
"C13","2u2","C_0603",236.800000,-118.050000,0.000000,top
"C14","2u2","C_0603",243.800000,-118.050000,0.000000,top
"C15","2u2","C_0603",250.150000,-111.450000,270.000000,top
"C16","2u2","C_0603",249.750000,-107.850000,90.000000,top
"C17","2u2","C_0603",244.300000,-98.650000,0.000000,top
"C18","2u2","C_0603",237.300000,-98.650000,0.000000,top
"C19","2u2","C_0603",230.350000,-107.850000,90.000000,top
"C20","2u2","C_0603",213.800000,-93.150000,0.000000,top
"C21","2u2","C_0603",211.000000,-95.900000,90.000000,top
"C22","2u2","C_0603",211.000000,-100.700000,90.000000,top
"C23","2u2","C_0603",211.000000,-104.700000,90.000000,top
"C24","2u2","C_0603",213.800000,-117.950000,0.000000,top
"C25","2u2","C_0603",225.850000,-117.950000,180.000000,top
"C26","2u2","C_0603",226.600000,-104.600000,270.000000,top
"C27","2u2","C_0603",226.600000,-99.800000,270.000000,top
"C28","2u2","C_0603",223.800000,-93.150000,0.000000,top
"C29","10u","C_0805",269.875000,-126.238000,180.000000,top
"FID1","Fiducial","Fiducial",203.200000,-129.540000,0.000000,top
"FID2","Fiducial","Fiducial",203.454000,-92.202000,0.000000,top
"FID3","Fiducial","Fiducial",271.526000,-92.202000,0.000000,top
"FID4","Fiducial","Fiducial",270.129000,-129.286000,0.000000,top
"R1","DNP","R_0805",258.500000,-107.050000,90.000000,top
"R6","0","R_0805",209.296000,-124.015500,0.000000,top
"R7","DNP","R_0805",209.296000,-126.174500,0.000000,top
"R9","22k","R_0805",203.708000,-108.077000,180.000000,top
"R10","22k","R_0805",207.264000,-108.077000,180.000000,top
"RN1","4x33","R4_0402",230.000000,-96.100000,270.000000,top
"RN2","4x33","R4_0402",230.000000,-98.700000,270.000000,top
"RN3","4x33","R4_0402",228.350000,-110.650000,0.000000,top
"RN4","4x33","R4_0402",220.000000,-119.550000,0.000000,top
"RN5","4x33","R4_0402",222.850000,-119.550000,0.000000,top
"U1","5M240ZT100C5N","TQFP-100_14x14mm_P0.5mm",240.050000,-108.350000,270.000000,top
"U2","W9812G6KH-6","TSOP-II-54_22.2x10.16mm_P0.8mm",218.800000,-105.450000,0.000000,top
"U3","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",220.775000,-124.600000,0.000000,top
"U4","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",229.975000,-124.600000,0.000000,top
"U5","74LVC245APW","TSSOP-20_4.4x6.5mm_P0.65mm",239.175000,-124.600000,0.000000,top
"U6","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",248.375000,-124.600000,0.000000,top
"U7","74AHCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",257.575000,-124.600000,0.000000,top
"U8","XC6206P332MR","SOT-23",267.650000,-110.800000,180.000000,top
"U9","AP2127K-1.8","SOT-23-5",267.650000,-105.150000,0.000000,top
